,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1097EZ,SFH_1964,161.251296223299,109.520170513812,114.119236061615,118.733887752602,123.360995177465,127.999734544281,123.999038497678,129.409572041328,134.837899490514,140.280165499038,145.737029100438,139.409681049827,145.69623492441,152.010204594191,158.350041330354,164.71755747513,155.84989874736,163.116040073437,170.42791832708,177.784215441212,185.181669199818,173.414954888253,181.789096350784,190.231019412741,198.741646721077,207.315310587363
1,1097HN,TH_75_91,135.061943969053,73.460863654403,79.1841079802421,84.9455826413973,90.7372991613805,96.5503484345896,83.2674308197613,89.9954594515357,96.7653880139722,103.56974164472,110.40345849879,93.6220113485367,101.418118345409,109.276899188145,117.205260210239,125.193639790017,104.561824499159,113.567515401378,122.675832222735,131.873433916769,141.152018670066,116.292803698474,126.653983684373,137.151352173602,147.771568119704,158.512822567224
2,1097HP,TH_75_91,122.323024302559,75.7064266475176,81.4692578235791,87.2645985352255,93.0868354951446,98.9289837383603,85.7006690102349,92.4734527590149,99.2832175575712,106.123885143112,112.995654421815,96.2587845533391,104.106718186608,112.02532809271,120.006838848355,128.0451282764,107.441367331357,116.523940021666,125.706043296487,134.975510297449,144.323299834679,119.44047288276,129.899347159428,140.490584455831,151.203955311429,162.040260517324
3,1097HR,MFH_75_91,57.3240013732245,26.3024165779261,29.4068866555042,32.5329397831534,35.6779829442572,38.8390417962265,30.1734471927008,33.8241476602837,37.5048584819406,41.2176769505231,44.9600863146093,34.2746842973675,38.5317121282979,42.8363485069557,47.1869918642544,51.5778460454045,38.6710295725286,43.6195157902758,48.639557826854,53.7269038976644,58.8715632622146,43.4458218095804,49.1835574599168,55.0230308798462,60.9293507428401,66.8786651092882
4,1097HS,MFH_75_91,44.9499717456696,19.0595742069057,21.7157935250761,24.3939100975102,27.0901370885466,29.801044215232,22.1025548543162,25.2320056809727,28.3958576965288,31.5906929129523,34.8047082061032,25.3526188557778,29.016874155184,32.7280960527304,36.4840714626407,40.2739808544534,28.8672449668681,33.1469840104889,37.4992630878864,41.9112954812424,46.3696797266897,32.7360877513668,37.7252437354825,42.7788251055289,47.8781435816175,53.0203713319233
5,1097HT,MFH_75_91,43.2451278405146,19.076700747463,21.7229939530694,24.3899921627257,27.0756236501535,29.7747520052302,22.1106887180692,25.2277418795828,28.3803208562158,31.5617078609824,34.7628314297043,25.3514325195261,29.001593565069,32.6994410912243,36.439949016488,40.214413638743,28.8566953129253,33.1200383019732,37.4574240526919,41.8520580976162,46.2918042887241,32.7145193357368,37.6859268800996,42.7191184507572,47.7971769928907,52.9178959341326
6,1097HW,MFH_75_91,51.6643645394323,26.1375164559043,29.2519314425908,32.3886934115426,35.5441946444754,38.7168996249293,29.9728489665303,33.6363825287738,37.329493417778,41.0547010731713,44.808934462034,34.0370479693089,38.3065291240509,42.625892201848,46.9908735356371,51.3964342461613,38.3913254116593,43.3554563233284,48.3917266927572,53.4963349986131,58.6592631140899,43.1194042104607,48.8748627843208,54.7332605926984,60.6606522862821,66.6318732846422
7,1097HZ,TH_75_91,94.9783076177161,60.8048057700624,65.987154221825,71.2042969163003,76.4484570547185,81.7131616734178,68.9097352749019,75.0010218392308,81.131783249267,87.2941700875765,93.4871557903151,77.4690958762683,84.5290163960112,91.6550529086896,98.8465122361451,106.093260773869,86.5289344089818,94.6905790905871,102.953922910602,111.303847983473,119.730418755593,96.2496027862136,105.647481200931,115.177525584551,124.831120722819,134.601202800213
8,1097JE,MFH_75_91,57.8492115574725,26.1111094661403,29.2576963730377,32.4278161680835,35.616492290171,38.8227274122768,29.9443610656646,33.6450386891468,37.3755857532799,41.1367880308701,44.9295824048788,34.0038749373698,38.3115116836884,42.6712512114727,47.0770088184789,51.524130311931,38.3421366751145,43.3470661949661,48.4265635393362,53.572881794275,58.7809436585727,43.0471427591971,48.8428317204933,54.7451943772537,60.7285520771279,66.7576457839344
9,1097JG,TH_75_91,92.6492881487193,58.8011711707442,63.8644331995573,68.9619359629892,74.0863476089175,79.2310386429656,66.6599663971151,72.6121463723116,78.6026985982772,84.6246694155219,90.6768320815579,74.9604747274824,81.85833332479,88.8213046166277,95.8487593413052,102.929891995044,83.741827975969,91.716544011252,99.7912745182682,107.950033707605,116.18519416483,93.1661023430655,102.348841919831,111.661914940695,121.095660014044,130.645182882285
