"buildingID","case1_annual_h_wh","case2_annual_h_wh","case3_annual_h_wh","case4_annual_h_wh","case5_annual_h_wh","case6_annual_h_wh","case7_annual_h_wh","case8_annual_h_wh","case9_annual_h_wh","case10_annual_h_wh","case11_annual_h_wh","case12_annual_h_wh","case13_annual_h_wh","case14_annual_h_wh","case15_annual_h_wh","case16_annual_h_wh","case17_annual_h_wh","case18_annual_h_wh","case19_annual_h_wh","case20_annual_h_wh","case21_annual_h_wh","case22_annual_h_wh","case23_annual_h_wh","case24_annual_h_wh","case25_annual_h_wh"
"363100012135747","8477720","10188700","12051200","14038900","16135300","15347300","18033200","20944400","24057400","27401400","21150800","24703000","28501100","32510700","36932600","26012100","30230500","34751500","39500200","44785400","29958300","34822600","39929600","45457900","51377600"
"363100012085111","28307300","33971800","40152100","46756600","53755100","37940300","45018100","52702400","60960000","69745100","47213900","55697200","64863300","74622500","85199500","56249100","66056300","76618400","87776600","100018000","64739300","75895800","87746100","100507000","114237000"
"363100012086617","35861300","43175500","51160000","59708900","68757400","47130300","56182600","66049400","76641400","87920100","57995900","68816900","80506200","92981400","106552000","68690100","81144600","94576800","108790000","124507000","78704600","92882300","107935000","124248000","141819000"
"363100012071090","26870500","32384900","38435200","44952800","51878200","35265100","42110300","49572400","57608500","66207200","43495900","51618700","60430100","69926500","80175500","51498600","60862500","70984300","81855700","93652200","59168500","69699900","81075200","93334700","106607000"
"363100012126526","9267170","11175500","13270600","15516100","17890000","16264200","19219000","22431700","25877300","29591900","22286500","26153400","30322800","34764900","39614200","27333400","31934700","36892500","42161600","47938800","31498000","36769200","42383200","48446800","54952100"
"363100012118146","24718000","24717500","24717000","24716400","24715700","30456500","30455300","29642700","30452600","32364800","102523000","53172100","39861000","91882600","39855400","66136400","39321400","39318200","128781000","66115700","135416000","47112200","78149300","54165200","54158900"
"363100012120675","30715500","36953200","43739800","51000000","58664500","40272900","47955200","56328000","65302400","74817800","49514800","58631600","68528300","79101100","90471200","58507300","69010700","80356100","92414500","105537000","67020000","78894200","91603100","105293000","120017000"
"363100012233193","871483","871435","871383","871327","871268","1149910","1149690","1113550","1149200","1244620","4640260","2296280","1605650","4069730","1604510","2933450","1582380","1581740","5917900","2929110","6182060","1942370","3518940","2285710","2284490"
"363100012107591","25860200","31052100","36721900","42789900","49207500","34734100","41236500","48287900","55856200","63928600","43313400","51103400","59510800","68475700","78186100","51659900","60665300","70359200","80629900","91860300","59535400","69756500","80650400","92373300","104978000"
"363100012115869","9609260","11602200","13790900","16139500","18618500","16912000","20040400","23445600","27103500","31040700","23252400","27384400","31842000","36578200","41778000","28602700","33533700","38851600","44488500","50718300","32997600","38678400","44709000","51252200","58269800"
"363100012068259","33793100","33792000","33790800","33789600","33788300","41958800","41956400","40735300","41951000","44624400","143627000","73152800","55276100","129229000","55265000","91205400","54416500","54410200","180365000","91164100","190346000","65759800","107942000","75671100","75658700"
"363100012095955","23138800","27730100","32749400","38123900","43819500","31063100","36814600","43046100","49728900","56850900","38745800","45601500","53015100","60918500","69434200","46165600","54090600","62618000","71673700","81497000","53203100","62154000","71728800","81988300","93030700"
"363100012137927","26996700","32516200","38565700","45062000","51967100","35453500","42295400","49750300","57764400","66331300","43719200","51833800","60630700","70108600","80323000","51745700","61100500","71206200","82057700","93817800","59434900","69954300","81314400","93547800","106783000"
"363100012218206","1481640","1481470","1481290","1481100","1480890","1952480","1952090","1878320","1951200","2102450","7732850","3680820","2713180","6935780","2711330","4691470","2658260","2657190","9803800","4684420","10402600","3320180","5625900","3879040","3876920"
"363100012116700","8105390","9737070","11515200","13415300","15419000","14732200","17302100","20087800","23064100","26260900","20331100","23734600","27368800","31202800","35434400","25018600","29057900","33386200","37929100","42989100","28817300","33479400","38368300","43659700","49324900"
"363100012132749","78786800","78783000","78778800","78774300","78769600","97773000","97764900","94873700","97746600","103930000","333276000","169509000","128668000","299948000","128632000","211190000","126568000","126548000","418190000","211063000","441212000","153060000","249817000","175996000","175958000"
"363100012082171","37924500","45639300","54073400","63091500","72623300","50365200","60006300","70503500","81750400","93717300","62408200","73964100","86453800","99799200","114232000","74191800","87557500","101969000","117259000","134005000","85321500","100513000","116717000","134198000","153040000"
"363100012064450","23461000","23460700","23460400","23460100","23459700","29062800","29062100","28305300","29060500","30953600","99386500","51766100","38256600","88560500","38253400","64557800","37774800","37773000","125139000","64545700","131090000","45212400","76391000","52141900","52138200"
"363100012112138","32269700","38865700","46063400","53746100","61885200","36679200","43966000","51920300","60422100","69440100","40968800","48961600","57642700","66929400","76871200","45281900","53965100","63338900","73343800","84157200","49435700","58791800","68822200","79690200","91297300"
"363100012131540","9172460","11063000","13137000","15365000","17722600","16110300","19047000","22238700","25662900","29356100","22123400","25957000","30105000","34540100","39346700","27147000","31722700","36658300","41933200","47658300","31332000","36553200","42150700","48181900","54657100"
"363100012064617","20221600","20220900","20220200","20219400","20218600","24855100","24853600","24210100","24850100","26404900","83473800","43455100","32466000","74698900","32458700","54032800","32046700","32042500","104925000","54005500","110262000","38291600","63823000","44017000","44008700"
"363100012129786","27042900","27041300","27039400","27037500","27035400","33264300","33260400","32376900","33251600","35327800","111659000","57942000","43456400","99927900","43438200","72027000","42858800","42848400","140262000","71959000","147451000","51297700","85042100","58940000","58919400"
"363100012088886","7578350","9120860","10809900","12616900","14525100","13791500","16227400","18866800","21691800","24729900","19102400","22311000","25758800","29431600","33411200","23533100","27367800","31479600","35852100","40609100","27201100","31594300","36260900","41283300","46664200"
"363100012064186","39799700","47850900","56605300","65958100","75832400","52430400","62384400","73226700","84826400","97150500","64616700","76485000","89328900","103026000","117814000","76503900","90189800","104938000","120588000","137691000","87719200","103235000","119767000","137612000","156799000"
"363100012106107","23248700","27893300","32952900","38359500","44066100","31107900","36884900","43159600","49885500","57036600","38664600","45560800","53015100","60950500","69531500","45988200","53947900","62511000","71577100","81486800","52876500","61897300","71491100","81819900","92928000"
"363100012125277","19863200","19862600","19862100","19861500","19860800","24266400","24264000","23659800","24258500","25746100","80515400","42163800","31515800","72008500","31503500","52320100","31123100","31116100","101177000","52273600","106331000","37042200","61708400","42514200","42501300"
"363100012069030","46592200","56110100","66484300","77574500","89276400","61056500","72787800","85592800","99322400","113887000","75001700","88980500","104127000","120308000","137771000","88655300","104757000","122148000","140602000","160793000","101531000","119791000","139273000","160335000","182975000"
"363100012166105","58257900","58256800","58255500","58254200","58252700","72163700","72161000","70198700","72155000","76795100","246566000","127233000","94936800","220623000","94924300","158611000","93627900","93620700","310246000","158564000","326127000","112465000","187680000","129552000","129538000"
"363100012095474","89699700","89698300","89696800","89695200","89693500","112573000","112570000","109714000","112562000","120438000","402504000","208794000","150249000","356181000","150233000","262186000","148620000","148611000","509742000","262127000","532746000","178099000","311505000","206697000","206679000"
"363100012061220","26532200","31848900","37635200","43810000","50336300","35542500","42168700","49361500","57075900","65269900","44231800","52135800","60700800","69844800","79679700","52615300","61768700","71628800","82118600","93487700","60569000","70916600","81995300","93886000","106698000"
