"buildingID","case1_annual_h_wh","case2_annual_h_wh","case3_annual_h_wh","case4_annual_h_wh","case5_annual_h_wh","case6_annual_h_wh","case7_annual_h_wh","case8_annual_h_wh","case9_annual_h_wh","case10_annual_h_wh","case11_annual_h_wh","case12_annual_h_wh","case13_annual_h_wh","case14_annual_h_wh","case15_annual_h_wh","case16_annual_h_wh","case17_annual_h_wh","case18_annual_h_wh","case19_annual_h_wh","case20_annual_h_wh","case21_annual_h_wh","case22_annual_h_wh","case23_annual_h_wh","case24_annual_h_wh","case25_annual_h_wh"
"363100012076895","10889300","12777100","14878800","17169100","19628700","12295600","14460900","16868300","19477300","22272000","13721700","16168300","18879100","21809100","24938300","15165700","17895800","20906100","24156500","27624500","16623600","19637300","22946200","26519500","30324100"
"363100012078434","8870060","10377200","12046400","13856700","15798100","9921500","11633300","13525300","15571500","17757300","10985700","12903200","15018200","17298700","19735500","12060000","14185400","16521800","19036600","21723300","13142200","15474900","18032600","20784700","23722200"
"363100012130585","9217530","9217350","9217160","9216950","9216740","9217540","9217360","9217160","9216950","9216740","9217540","9217360","9217170","9216960","9216750","9217540","9217360","9217170","9216960","9216750","9217540","9217360","9217170","9216960","9216750"
"363100012125241","26258700","30658900","35503600","40742800","46358400","28522200","33357100","38672900","44411700","50554400","30803300","36072100","41862500","48102100","54773100","33098700","38806900","45069200","51812100","59012500","35407100","41556900","48286500","55535100","63269400"
"363100012107394","47369000","55482600","64426100","74100600","84477300","52008600","61005300","70917600","81629900","93085800","56689500","66582600","77458900","89210500","101757000","61398200","72191200","84041800","96828000","110461000","66138700","77835000","90654800","104484000","119203000"
"363100012105676","31869400","37222800","43131500","49523500","56365900","34751600","40660300","47175500","54201800","61717800","37659700","44131200","51246200","58909600","67103900","40587700","47623100","55335700","63643700","72515500","43532800","51132600","59444800","68395900","77946100"
"363100012081736","9345480","10928400","12666300","14546600","16562300","10439600","12228400","14193200","16315300","18585000","11542500","13539900","15733200","18098600","20625200","12652900","14861500","17281700","19891500","22674800","13771100","16191700","18839000","21694100","24733900"
"363100012082530","25919800","30283200","35084400","40275700","45844000","28182900","32979400","38249300","43940800","50035000","30465100","35696000","41434000","47625200","54245800","32759500","38429100","44636800","51328800","58473600","35066600","41171100","47852700","55047500","62716700"
"363100012098259","105360000","105360000","105360000","105360000","105359000","105360000","105360000","105360000","105360000","105359000","105360000","105360000","105360000","105360000","105359000","105360000","105360000","105360000","105360000","105359000","105361000","105360000","105360000","105360000","105359000"
"363100012217414","655268","655246","655223","655198","655173","655268","655246","655223","655198","655173","655268","655246","655223","655198","655173","655268","655246","655223","655198","655173","655268","655246","655223","655198","655173"
"363100012106678","42323800","49647200","57707400","66413300","75727600","46263900","54344000","63215700","72791300","83012400","50229400","59065100","68749300","79198000","90321900","54225700","63810400","74308400","85629800","97656600","58237200","68576600","79887900","92086300","105014000"
"363100012064146","48251600","56529600","65670100","75564900","86177000","52906300","62080900","72198300","83121400","94819400","57599500","67674000","78766000","90725900","103501000","62323800","73304900","85365200","98372400","112224000","67077900","78969000","91997700","106042000","120974000"
"363100012149815","33712700","39530200","45926300","52839800","60220300","37028800","43475800","50560700","58202000","66362500","40371000","47453800","55224000","63596600","72537300","43732500","51453500","59908500","69025900","78735800","47111400","55474500","64612800","74480000","84961900"
"363100012111470","7155000","7154820","7154640","7154430","7154220","7155000","7154830","7154640","7154430","7154220","7155000","7154830","7154640","7154430","7154220","7155010","7154830","7154640","7154440","7154220","7155010","7154830","7154640","7154440","7154230"
"363100012083125","37479100","43898800","50969500","58619900","66803200","38462600","45067500","52344800","60208400","68624100","39448000","46242900","53721900","61803400","70447100","40435400","47417700","55098200","63397700","72272500","41425000","48595900","56481000","64996500","74098200"
"363100012108108","8868480","10375700","12043700","13854700","15796200","9919700","11631500","13522600","15569600","17757100","10984600","12902000","15016600","17297300","19735800","12059300","14184100","16520800","19036200","21726000","13141900","15474200","18032900","20786200","23726700"
"363100012101346","26241300","30692500","35605000","40928500","46638400","28540300","33432400","38830300","44663000","50920400","30858800","36198500","42076000","48422900","55222100","33195400","38982100","45342400","52204000","59543800","35544900","41782200","48620600","56004000","63878900"
"363100012123031","26283000","30686200","35524100","40764400","46377900","28548300","33383400","38693700","44431400","50578000","30834600","36100200","41884800","48120300","54803000","33132400","38835300","45090500","51830700","59044400","35442000","41582800","48309500","55556400","63299200"
"363100012109447","14371600","16843200","19578700","22540700","25711300","16088700","18891200","21989900","25332900","28906300","17823500","20963200","24420200","28146000","32124000","19573600","23052600","26866600","30979000","35361600","21337200","25153800","29325400","33826400","38614600"
"363100012137168","30140400","35272400","40915400","47009700","53531900","30898100","36172300","41973200","48234700","54931300","31656500","37075700","43033800","49459500","56332700","32417100","37978600","44094100","50687200","57736400","33179900","38885200","45156800","51916300","59143300"
"363100012116185","24358400","24357800","24357200","24356500","24355800","24358400","24357800","24357200","24356500","24355800","24358400","24357800","24357200","24356500","24355800","24358400","24357900","24357200","24356500","24355800","24358400","24357900","24357200","24356600","24355800"
"363100012076051","30304400","30303600","30302800","30301900","30300900","30304400","30303600","30302800","30301900","30300900","30304400","30303600","30302800","30301900","30301000","30304400","30303600","30302800","30301900","30301000","30304400","30303700","30302800","30301900","30301000"
"363100012075415","25601900","29887200","34612000","39717700","45190900","27780700","32487000","37665500","43246900","49232500","29976800","35107100","40735900","46799500","53293700","32190000","37739700","43819300","50370300","57373500","34415200","40387600","46916700","53959500","61468500"
"363100012139532","43943500","51385800","59575700","68444000","77938800","48058700","56285600","65335300","75116700","85567500","52207900","61225200","71141300","81829800","93239300","56382200","66194300","76970400","88577900","100947000","60583200","71192900","82824700","95351100","108682000"
"363100012082730","24547600","28642500","33130100","37982600","43179100","26737300","31239500","36180400","41512400","47221000","28937800","33856800","39252700","45064100","51288600","31151400","36490800","42339600","48635500","55371900","33376800","39137300","45438500","52219900","59472200"
"363100012095753","31766300","37206900","43200200","49689400","56636700","34623900","40611000","47200300","54317600","61927300","37504100","44040700","51224000","58973400","67250100","40401600","47489600","55268200","63651100","72592400","43316800","50955500","59332400","68348400","77955300"
"363100012143210","29264100","29263400","29262600","29261800","29261000","29264100","29263400","29262600","29261800","29261000","29264100","29263400","29262600","29261800","29261000","29264100","29263400","29262600","29261800","29261000","29264100","29263400","29262700","29261800","29261000"
"363100012081466","7153620","7153440","7153240","7153020","7152800","7153630","7153440","7153240","7153020","7152800","7153630","7153440","7153240","7153030","7152810","7153630","7153450","7153240","7153030","7152810","7153630","7153450","7153240","7153030","7152810"
"363100012070630","28734200","33613800","38965800","44743100","50924200","31164400","36501800","42351800","48665400","55412300","33607900","39408600","45759900","52608300","59926500","36065000","42330600","49182300","56568800","64455400","38536500","45266300","52619500","60546900","68999200"
"363100012085606","27330700","31982100","37097900","42617100","48525400","28016900","32798100","38057600","43726000","49794800","28703500","33615800","39017400","44834800","51063700","29392200","34435800","39977400","45946800","52335700","30083500","35258400","40940500","47060100","53608000"
"363100012109051","35373600","41447900","48123400","55339800","63067000","38564600","45241900","52578600","60495000","68964700","41777700","49065200","57060100","65684200","74885900","45009600","52904400","61564600","70899100","80835500","48256500","56767400","66087600","76133900","86803500"
"363100012089164","26563400","31035800","35931300","41225100","46889500","28811800","33708500","39066400","44858200","51033800","31075900","36394200","42222900","48505400","55197400","33352300","39096300","45387400","52167500","59374100","35633300","41810500","48565500","55840200","63563200"
"363100012085702","38915300","38913100","38910700","38908200","38905500","38915300","38913100","38910700","38908200","38905500","38915300","38913100","38910800","38908200","38905600","38915400","38913200","38910800","38908200","38905600","38915400","38913200","38910800","38908300","38905600"
"363100012103547","10659800","12507700","14557600","16784800","19174800","12018800","14131200","16472100","19006900","21715700","13396700","15776400","18408500","21249100","24279000","14787300","17438100","20358800","23506700","26860200","16190100","19113500","22321600","25777300","29455100"
"363100012081508","27248700","31766700","36720500","42079900","47829600","29583200","34537700","39976000","45851800","52144300","31933800","37332300","43252100","49643700","56479900","34297800","40143900","46548100","53454700","60836200","36673500","42968100","49861200","57284700","65208800"
"363100012092006","24946200","29131500","33705000","38652500","43961600","27265200","31880600","36937500","42396100","48243200","29600700","34650400","40188200","46161500","52545600","31948000","37439200","43454800","49946500","56871400","34306300","40241100","46735900","53745400","61212400"
"363100012133003","25958300","30362800","35215400","40473100","46112800","28182300","33011200","38331700","44081000","50246700","30424800","35684000","41467500","47714400","54402600","32684000","38372800","44624400","51367100","58576100","34953200","41076600","47789200","55034000","62760700"
"363100012079617","55936700","55935900","55935000","55934100","55933200","55936700","55935900","55935000","55934100","55933200","55936700","55935900","55935000","55934100","55933200","55936700","55935900","55935000","55934100","55933200","55936700","55935900","55935000","55934100","55933200"
"363100012087449","8828160","10327900","11990100","13792800","15725600","9873550","11577500","13460400","15497400","17673800","10932000","12840700","14945800","17215100","19640400","12000200","14115400","16440300","18944000","21617600","13076400","15398100","17943300","20682500","23605400"
"363100012067382","27277400","31918800","37020900","42532700","48426900","27962800","32733300","37979000","43641300","49693500","28649900","33550800","38938200","44748100","50959200","29338400","34369100","39898200","45857300","52229700","30027900","35189800","40860200","46970200","53501100"
"363100012205808","1117130","1117110","1117080","1117050","1117020","1117140","1117110","1117080","1117050","1117020","1117140","1117110","1117080","1117050","1117020","1117140","1117110","1117080","1117050","1117020","1117140","1117110","1117080","1117050","1117020"
"363100012196584","1704380","1704260","1704140","1704000","1703870","1704380","1704270","1704140","1704010","1703870","1704390","1704270","1704140","1704010","1703870","1704390","1704270","1704140","1704010","1703870","1704390","1704270","1704140","1704010","1703870"
"363100012148739","20079000","20078100","20077000","20076000","20074800","20079000","20078100","20077100","20076000","20074900","20079000","20078100","20077100","20076000","20074900","20079000","20078100","20077100","20076000","20074900","20079000","20078100","20077100","20076000","20074900"
