,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1091KZ,MFH_1964,35.3882546961429,23.1086647872775,24.0823529361537,25.0649683509128,26.0522121876306,27.0410036081611,24.4316626639705,25.5564265178297,26.6923100479734,27.8357452139443,28.9845109463814,25.8251615810236,27.1163910011153,28.4230389414158,29.7383992054031,31.0576427584021,27.2990345499832,28.7686803224172,30.2536729676612,31.7503011504606,33.2532486338289,28.8527657095784,30.5130938690189,32.192379930166,33.8846771589242,35.5853284743756
1,1091LC,MFH_1964,52.3045080477049,30.1030960412903,32.5835247403927,35.0783372277264,37.5836259636313,40.099508848011,33.8707895728761,36.7358246001535,39.6209026110318,42.5218971088874,45.4413176773812,37.8435615652395,41.1311835324736,44.4489036607958,47.7863636015385,51.1410369281973,42.0456488699789,45.786713866209,49.5567822387089,53.3549276310934,57.173537078163,46.4728239334101,50.6992491468077,54.9608927456757,59.2522808059212,63.5714595577142
2,1091LE,MFH_1964,35.3742002953885,28.7472878151464,30.3593614338706,31.9815647268449,33.6103028240409,35.24330528123,31.3732021066554,33.239478154189,35.1204247644295,37.0111663039377,38.9086172972236,34.1519056514359,36.2968932821424,38.4575266022438,40.6294539269688,42.8090076156406,37.0886670444283,39.5305589203948,41.9893044785187,44.4626187204419,46.9449856310196,40.1907051339488,42.9537775434642,45.7388412429103,48.539958147382,51.3521944069213
3,1091LG,MFH_1964,40.7018315234725,32.8431120444466,35.3372390413016,37.8442927907019,40.3613283150687,42.8890252246126,37.0272172565959,39.912445771041,42.8166325786495,45.7375406291453,48.6738531777455,41.4541981677186,44.7703561897977,48.1099890812307,51.4667113377483,54.8373089693967,46.1373213354652,49.9118056517886,53.7100904840251,57.5310148313985,61.371350545409,51.0792768835856,55.3484324818684,59.6502518458927,63.9779388735538,68.3284353189044
4,1091LH,Others_1964,44.2133118730422,25.3501551666596,26.1290730705451,26.9143102786731,27.7029501890855,28.4916595424017,26.6760285282244,27.5775363048879,28.4874003776375,29.4026115539771,30.3195819505452,28.0772705880077,29.1137985172228,30.1599790100611,31.2116223446622,32.2642378799159,29.5588580874459,30.7385541365877,31.9302869557152,33.1282233409122,34.3282430132222,31.1264390493784,32.4613631360672,33.8092961933943,35.1654698086348,36.5260183268125
5,1091LN,MFH_1964,35.6499759507113,37.5080576290199,39.9137677350754,42.3359719738824,44.7688131033572,47.2092669094865,41.888214494493,44.6675366949882,47.4623275763567,50.2699626770121,53.0897293948018,46.4884437613336,49.6647722635217,52.8654682832203,56.0884287750522,59.3324197206556,51.3192258953468,54.9334049689493,58.5757231373089,62.2425478675014,65.9298642547159,56.4124715685363,60.4917539007546,64.602460249848,68.7425570926006,72.9089333122975
6,1091LP,MFH_1964,40.4724951599155,36.9078331118983,39.2953372703894,41.7021422445569,44.1224735179529,46.55096101497,41.2797711932355,44.0428885480742,46.8212623101821,49.6138589085219,52.4181393533712,45.8768255403026,49.0331267991243,52.2129305645789,55.4158323958254,58.6404392188571,50.7045235112559,54.2944752270681,57.9159059216493,61.561737880287,65.2284884179641,55.796883074587,59.8504363385381,63.9362999318752,68.0513731414864,72.1928248814865
7,1091LR,MFH_1964,39.092365479405,40.3888344105434,42.7898819964216,45.2078745567288,47.6376082605463,50.0755542600323,45.1887504781027,47.966994495727,50.7592725948602,53.5645114853751,56.3810036602518,50.2393773621409,53.4150639661793,56.6127204938775,59.8309321537045,63.0678938668104,55.5489110963551,59.1601908722301,62.800303123789,66.4629544680143,70.1454128936739,61.1478428775342,65.2266868614525,69.3353227773803,73.4707258985959,77.6309285265335
8,1091ME,MFH_1964,43.1329431819174,28.6707828125591,31.1942476713791,33.7325954290292,36.2823836658721,38.8443316934736,32.2299535676367,35.1436449510166,38.0794466018183,41.032905638919,44.006967814446,35.9808037285899,39.3249859577602,42.7006637576422,46.0977153869142,49.5132978522438,39.9472247152896,43.7513381850591,47.5875980312429,51.4531783869745,55.3410916541841,44.1254315787813,48.4226331270499,52.7585918675537,57.124984337886,61.5223757114202
9,1091MG,MFH_1964,35.6863155279456,30.255698017356,32.775364307677,35.3067002527308,37.8495260119481,40.4046009121779,34.0191017218659,36.9291019771746,39.859763915692,42.8067313991786,45.7721824967541,37.9922394950004,41.3307598628903,44.6986541904676,48.0888487486646,51.4962880192495,42.1865811686372,45.9886106310217,49.8232312010592,53.6831493445417,57.5626101632448,46.6214496128565,50.9201987282391,55.2534372683974,59.615690087104,64.0070171312154
10,1091NB,MFH_1964,49.5860731466952,24.9962801975498,26.2846269472199,27.582683260952,28.8872325467108,30.1947831878631,26.7503033792773,28.237732064992,29.7389000230063,31.2500525696804,32.768714483634,28.5972250871102,30.3041592746551,32.0299147107636,33.7673048831188,35.5109010453117,30.5472092735766,32.4889905524734,34.450525772048,36.4270558109992,38.4128410255465,32.6020137045843,34.7962675642755,37.0133125928118,39.2468830123993,41.493248054581
