,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1091KZ,MFH_1964,35.0148733453043,19.8421309134047,20.6147191434975,21.3944721134643,22.1792117423834,22.9674764233205,21.1569179982021,22.0840783263365,23.0203808625501,23.9630170288124,24.9105825361079,22.550201973059,23.642337601532,24.7468968889466,25.8606700318391,26.9836713596894,24.0211373986702,25.2954293736998,26.5879054585295,27.8923896473881,29.2038809518435,25.5860885409081,27.0582706312574,28.5471465655132,30.0493632454143,31.561782514896
1,1091LC,MFH_1964,50.7290710583162,24.6220811115319,26.5863777186441,28.5645023001567,30.5532715586742,32.5537129076417,28.3607038954746,30.7179271953827,33.0935597230857,35.4854287517898,37.8895425276182,32.3267219076498,35.1039888781669,37.9068401277512,40.7309975741886,43.5792234437905,36.5154865232896,39.7561674860733,43.0377597153837,46.3472100076151,49.6775285827722,40.9782168290584,44.7229367222982,48.5033129149357,52.3155726100577,56.1533660557168
2,1091LE,MFH_1964,34.8523469717473,24.2315488942984,25.5136803934127,26.8043842749023,28.1017102853917,29.4041302412654,26.8484105171529,28.3877425957884,29.9385433286036,31.4978873355349,33.0641445540592,29.621889129382,31.4406022811553,33.276038127919,35.1258389006666,36.9858275641829,32.5729135694507,34.7000287289229,36.8468501799678,39.0069595514011,41.1767037566756,35.7099688949562,38.1620486616914,40.635697648597,43.1258946809369,45.6299326905926
3,1091LG,MFH_1964,37.5675256252441,26.8944272378558,28.8739335613643,30.8653896977406,32.8683000978728,34.8809091020506,31.0600697059535,33.4370913684136,35.8311740788663,38.2393020670023,40.6597196731114,35.479079355649,38.2873986479404,41.1183716139149,43.9716726070131,46.8454043820641,40.1791927786578,43.4630976328308,46.7784627763309,50.1158586174878,53.4690837131306,45.1828371119261,48.9699225342356,52.7890912218986,56.6346655979483,60.5041395997335
4,1091LH,Others_1964,39.2179525533922,21.9726375086584,22.5925080152899,23.2170543441082,23.8451422610184,24.4750125457919,23.2946683628817,24.0390499959619,24.7892185376891,25.5436462441805,26.30099055263,24.6938502831866,25.573113183011,26.4598064735381,27.3532820209995,28.252035229147,26.1782617940445,27.2067806416922,28.2447205766172,29.2889335205155,30.3380074676773,27.7603794704983,28.9452142945186,30.1411599831411,31.3450221627927,32.5557360422823
5,1091LN,MFH_1964,34.2564915487291,31.035127285719,32.9468302946282,34.8692918579875,36.801503904459,38.7429623983738,35.3930370595991,37.6795514202292,39.9854972249225,42.3026534781138,44.6325322868099,39.9966729123399,42.6859117724239,45.397067493835,48.1270289598583,50.8742145413259,44.8392911943022,47.9655289793255,51.1229648341999,54.3108513956923,57.5225492974052,49.9582774476864,53.5687023245826,57.2130540161581,60.8826770133401,64.5771194220804
6,1091LR,MFH_1964,37.9515376930411,33.2873940234255,35.1967608973468,37.1161451457865,39.0447824560784,40.981973563443,38.0656654067575,40.3482933152925,42.648061341916,44.9620260697645,47.2868375326841,43.1152027386971,45.8033716955135,48.510063038006,51.235049098572,53.9761832969575,48.4348026333446,51.5606625563366,54.714005211368,57.894212643517,61.0985528415514,54.0623717465481,57.6717651337151,61.3123164585077,64.979130867468,68.6682079155773
7,1091ME,MFH_1964,40.3295021208829,23.5029059930343,25.5018043291095,27.515791081605,29.5410299221688,31.578462806423,27.0376886607311,29.4354452601582,31.8529144217871,34.2883834990321,36.7371255873165,30.7848052521274,33.609439013049,36.4616121310693,39.3375567836995,42.2391226292524,34.7405221976662,38.0352945728381,41.373996332934,44.7420871084412,48.1319970014506,38.9501389995403,42.757232474369,46.6021925652084,50.4824845551114,54.3902302697838
8,1091NB,MFH_1964,46.8644315378916,21.3753063427138,22.3972140450569,23.4277192554796,24.4651000808476,25.5071921971522,23.118005685566,24.3441012154001,25.5815803720656,26.8275494184897,28.080154928035,24.9633968217241,26.4075629424434,27.8666880097655,29.3382130991718,30.8221023378886,26.9101165857903,28.594128070987,30.3010263857583,32.0228358167677,33.7546417940281,28.9786005011415,30.9228689590099,32.8883262685012,34.8715406009384,36.868255053851
9,1091NH,MFH_1964,42.4053766534664,24.8358641595729,26.813976860339,28.8041806701444,30.8062940408054,32.8201354241382,28.5844529033226,30.9588671344491,33.3499837984829,35.7552793756695,38.1758976195665,32.5543125734561,35.3534769353406,38.1761336322055,41.0227365345101,43.8928680814319,36.7531226581472,40.025401586947,43.3321928254823,46.6622585411775,50.0109874101646,41.2314443265768,45.0023816517491,48.8095196847659,52.6456691175497,56.5075983924295
