"buildingID","case1_annual_h_wh","case2_annual_h_wh","case3_annual_h_wh","case4_annual_h_wh","case5_annual_h_wh","case6_annual_h_wh","case7_annual_h_wh","case8_annual_h_wh","case9_annual_h_wh","case10_annual_h_wh","case11_annual_h_wh","case12_annual_h_wh","case13_annual_h_wh","case14_annual_h_wh","case15_annual_h_wh","case16_annual_h_wh","case17_annual_h_wh","case18_annual_h_wh","case19_annual_h_wh","case20_annual_h_wh","case21_annual_h_wh","case22_annual_h_wh","case23_annual_h_wh","case24_annual_h_wh","case25_annual_h_wh"
"363100012076895","12443200","14466500","16663400","19024800","21547400","22650800","25788600","29124700","32674700","36456700","31269000","35367000","39700700","44240100","49128000","38417000","43280300","48429400","53805600","59601700","44337800","49890900","55719200","61889200","68408900"
"363100012078434","10159300","11760400","13493200","15348900","17329900","19020100","21519300","24170600","26977900","29962400","26387200","29657900","33111400","36715800","40586900","32483700","36367600","40472100","44744900","49343700","37528300","41968400","46611100","51524700","56695600"
"363100012130585","10608300","10608100","10607900","10607700","10607500","13219600","13218700","12866200","13216700","14082600","46015600","23656500","17455600","41430700","17451300","29537800","17261600","17259000","57961700","29521000","61364400","20704600","34981700","23868500","23864000"
"363100012125241","30123800","34759300","39769600","45129200","50829700","41162200","46906200","53045300","59577000","66525700","51688200","58522800","65767500","73439600","81624600","61718200","69602200","77918300","86677500","96032200","71185500","80053100","89398300","99285300","109758000"
"363100012107394","54088300","62657300","71958100","81927500","92543100","73101500","83758400","95221500","107433000","120465000","91377400","104129000","117688000","132040000","147466000","109010000","123769000","139311000","155690000","173380000","125667000","142366000","159801000","178453000","198234000"
"363100012105676","36519800","42160800","48259500","54792700","61756800","49904400","56925100","64438100","72444900","80959700","62701100","71082900","79974800","89398400","99461900","74930700","84621500","94843100","105618000","117148000","86483900","97410200","108907000","121100000","134026000"
"363100012081736","10657000","12327000","14131900","16062600","18116700","19842700","22431100","25175400","28090100","31187700","27434200","30828600","34403400","38126300","42154100","33718800","37739700","41987500","46383500","51166600","38877600","43491000","48287200","53369600","58722000"
"363100012082530","29749800","34354200","39329000","44644000","50311200","40653400","46353400","52431100","58903800","65796100","51045900","57814500","64988800","72581400","80694900","60949000","68754700","76985200","85641200","94908100","70295800","79077100","88316900","98092600","108455000"
"363100012098259","118423000","118423000","118423000","118422000","118422000","146538000","146536000","142729000","146533000","155844000","497951000","258506000","192197000","448927000","192190000","321665000","190122000","190118000","625920000","321637000","661943000","227322000","380219000","261394000","261387000"
"363100012217414","730093","730070","730046","730021","729995","959290","959242","928881","959142","1036600","3768240","1877870","1331830","3322520","1331630","2388920","1312700","1312590","4787610","2388190","5001100","1609700","2860380","1888340","1888130"
"363100012106678","48206200","55925700","64296800","73245200","82761200","64462400","73919300","84083300","94911000","106447000","79991300","91199800","103121000","115707000","129289000","94962000","107840000","121419000","135672000","151169000","109023000","123563000","138713000","154939000","172137000"
"363100012064146","55195000","63938800","73434800","83621200","94463800","74569100","85423900","97078300","109495000","122730000","93150000","106098000","119857000","134389000","150034000","111034000","125998000","141736000","158292000","176199000","127897000","144815000","162446000","181294000","201281000"
"363100012149815","38313000","44452800","51084300","58181100","65729400","51093300","58639600","66753400","75417000","84661300","63288700","72309400","81897900","91974600","102993000","75169100","85558000","96520400","107946000","120581000","86244600","98103100","110336000","123527000","137512000"
"363100012111470","8099800","8099610","8099410","8099200","8098980","10003000","10002500","9743870","10001400","10631600","33850400","17592100","13094000","30514400","13091800","21876600","12952400","12951100","42530200","21868200","44983300","15472100","25843600","17779800","17777600"
"363100012083125","42776800","49589600","56948600","64811900","73182200","48976000","56462400","64535600","73134700","82319500","55005800","63166300","71934600","81261900","91269900","60954400","69835500","79256000","89262900","100023000","66758800","76251200","86308700","97086600","108586000"
"363100012108108","10164700","11766000","13501100","15361400","17345800","19021700","21522500","24176400","26988200","29978300","26402100","29661900","33115300","36737000","40599100","32486800","36365400","40472100","44777100","49358300","37553200","41968100","46621500","51532100","56706300"
"363100012101346","30114600","34813000","39897400","45351400","51186500","41243800","47075100","53323900","59980600","67062900","51897900","58842200","66209900","74016900","82339700","62067300","70075900","78526000","87418100","96917000","71668700","80678500","90159000","100194000","110816000"
"363100012123031","30166400","34812900","39840300","45211800","50934800","41255800","47005300","53150300","59695000","66654400","51810600","58646200","65898400","73575800","81757900","61862800","69746700","78070100","86816300","96163900","71345400","80215500","89559400","99429300","109887000"
"363100012109447","16387800","19007100","21845700","24890400","28132100","29739200","33762200","38031800","42580000","47419100","40872800","46131700","51663000","57434100","63702800","50129200","56339300","62897500","69687300","77116600","57716300","64845100","72240100","80097700","88387500"
"363100012137168","34420900","39872100","45757900","52046000","58738400","39435600","45413900","51859900","58726800","66053300","44310800","50817800","57808900","65252200","73213200","49109500","56185000","63693400","71664800","80207000","53795500","61351000","69361400","77929200","87049400"
"363100012116185","27385900","27385300","27384700","27384000","27383300","33658500","33657000","32839500","33653800","35752800","112649000","59228600","43868900","101275000","43862400","73537200","43451000","43447100","141543000","73511500","149324000","51620600","86770600","59273800","59266500"
"363100012076051","34290700","34289800","34289000","34288100","34287100","42303600","42301600","41237800","42297400","44965500","142908000","74635200","55328400","128669000","55319900","92789900","54766600","54761500","179572000","92756600","189719000","65269200","109582000","75013800","75004300"
"363100012075415","29342000","33852200","38737800","43960400","49524800","40105500","45694200","51675400","58038700","64804600","50382900","57026100","64074700","71547300","79501200","60167200","67830100","75915700","84438900","93523400","69411300","78022400","87104300","96707300","106878000"
"363100012139532","50165500","58048600","66574000","75698100","85405400","67687300","77418200","87864100","98986400","110838000","84447700","96048200","108370000","121405000","135389000","100568000","113970000","128066000","142911000","158914000","115791000","130909000","146704000","163571000","181450000"
"363100012082730","28134700","32478600","37161200","42153700","47472900","38427000","43798900","49531600","55632300","62120500","48213200","54622400","61397100","68542300","76207100","57580000","64974100","72738700","80883100","89656300","66386200","74734400","83448400","92701800","102500000"
"363100012095753","36346600","42144300","48412600","55108200","62229300","48591600","55665300","63250600","71328900","79925700","60262300","68653700","77542000","86906200","97008300","71524200","81150300","91264600","101853000","113371000","82090500","92956100","104232000","116285000","129063000"
"363100012143210","32712100","32711300","32710500","32709700","32708900","40341200","40339500","39310100","40335700","42865700","135439000","70831000","52716400","122003000","52708700","87982500","52149700","52145100","169918000","87952400","179388000","62181300","103839000","71404300","71395700"
"363100012081466","8103550","8103340","8103130","8102910","8102680","10010800","10010200","9750610","10008800","10640200","33910900","17613700","13108000","30568200","13105000","21906900","12965700","12964000","42604000","21895800","45072600","15491700","25880000","17803000","17800000"
"363100012070630","32745600","37894700","43452000","49387200","55702900","43634500","49888500","56591200","63735900","71351000","54012300","61386800","69224500","77521700","86435400","63969300","72426500","81337900","90726000","100858000","73338900","82851300","92788600","103407000","114654000"
"363100012085606","31210800","36154400","41485600","47181300","53246500","35759500","41177400","47016300","53236800","59877100","40177800","46075200","52408300","59151200","66364500","44527200","50939300","57741300","64961800","72702700","48774600","55621200","62876700","70637500","78902700"
"363100012109051","40350700","46792300","53760100","61203300","69128500","54041100","61918500","70364600","79359000","88939700","67143800","76466400","86369100","96828600","108058000","79743500","90461300","101730000","113587000","126376000","91623200","103691000","116271000","129706000","143934000"
"363100012089164","30294300","35015800","40099900","45532800","51326600","40498200","46233100","52382900","58938400","65907000","50181100","56969600","64167000","71762300","79922900","59477400","67262700","75446900","84033300","93314300","68193600","76965200","86087300","95827800","106121000"
"363100012085702","43655800","43653500","43651000","43648400","43645800","53980800","53973800","52552400","53959100","57371300","183101000","94936000","70706400","164945000","70675700","118081000","69890100","69872300","229907000","117964000","243177000","83562200","139446000","96008100","95976000"
"363100012103547","12193500","14165200","16300000","18595000","21043200","22217500","25271100","28514700","31963700","35637600","30609600","34620100","38839400","43232300","48007300","37606800","42351300","47362200","52535400","58216200","43346400","48800200","54455600","60470600","66812500"
"363100012081508","31194800","35991500","41165500","46673900","52537400","42636200","48553000","54868800","61579100","68709700","53510300","60552400","68002200","75861600","84256800","63884700","72002200","80538900","89491100","99085400","73665900","82796100","92374500","102499000","113224000"
"363100012092006","28430500","32838500","37584500","42643800","48028100","38772700","44224600","50056700","56260500","62869000","48601000","55128600","62035700","69325900","77181000","58042800","65587300","73522200","81845300","90863200","66902700","75457600","84367700","93879500","103950000"
"363100012133003","29775600","34419400","39439600","44820800","50577800","40765900","46512600","52669600","59226700","66201300","51285900","58111000","65357200","73045900","81221500","61301400","69167300","77472000","86228700","95546600","70773700","79600300","88916400","98763500","109190000"
"363100012079617","63385200","63384400","63383500","63382600","63381600","79420800","79418700","77540800","79414400","84907200","284174000","148100000","105695000","253322000","105686000","185814000","104942000","104937000","359874000","185778000","378702000","125112000","220645000","145024000","145014000"
"363100012087449","10123100","11716800","13442200","15291500","17263800","18968500","21458000","24099900","26898000","29872100","26315900","29579500","33021900","36610700","40473200","32404000","36277000","40368100","44617300","49208100","37432200","41866100","46490400","51390400","56544300"
"363100012067382","31142200","36076700","41401600","47088500","53139100","35679900","41090600","46920600","53129500","59756600","40089900","45977800","52299700","59032500","66232500","44431600","50832900","57623300","64833100","72559200","48670500","55504800","62749500","70499100","78748300"
"363100012205808","1285270","1285240","1285210","1285180","1285150","1689240","1689170","1633760","1689030","1821860","6698630","3273330","2342200","6002980","2341890","4168430","2310930","2310740","8519210","4167200","9035830","2846560","4998300","3332090","3331740"
"363100012196584","1930680","1930550","1930420","1930290","1930150","2504730","2504080","2437670","2502720","2702960","9826790","4996830","3446210","8624210","3443030","6352690","3414530","3412710","12515300","6340280","13087400","4124480","7593360","4838900","4835530"
