"buildingID","case1_annual_h_wh","case2_annual_h_wh","case3_annual_h_wh","case4_annual_h_wh","case5_annual_h_wh","case6_annual_h_wh","case7_annual_h_wh","case8_annual_h_wh","case9_annual_h_wh","case10_annual_h_wh","case11_annual_h_wh","case12_annual_h_wh","case13_annual_h_wh","case14_annual_h_wh","case15_annual_h_wh","case16_annual_h_wh","case17_annual_h_wh","case18_annual_h_wh","case19_annual_h_wh","case20_annual_h_wh","case21_annual_h_wh","case22_annual_h_wh","case23_annual_h_wh","case24_annual_h_wh","case25_annual_h_wh"
"363100012076895","10677600","12748600","14962500","17321900","19834500","19306500","22540100","26005100","29684700","33582600","26696500","30944800","35439000","40206100","45308700","32852200","37905900","43256400","48923400","55025400","37955800","43726000","49796100","56300300","63201700"
"363100012078434","8715620","10360100","12111700","13976900","15958500","16210600","18794900","21551400","24476900","27565400","22517300","25918100","29501200","33286500","37336600","27751000","31795300","36064700","40559700","45403000","32082900","36704100","41545300","46708700","52181700"
"363100012130585","9768580","9768380","9768180","9767960","9767740","12158000","12157000","11818100","12155000","12952300","42055200","21590600","16067600","37735700","16063100","26934400","15856400","15853800","52925000","26917300","55801100","19064900","31876000","21975600","21971000"
"363100012125241","25862800","30630000","35718200","41108100","46830000","35175300","41102000","47447100","54153700","61257000","44130100","51184300","58727700","66682000","75104600","52686900","60833700","69491600","78632400","88323400","60779800","69972500","79691500","90026600","100930000"
"363100012107394","46567800","55373500","64761800","74738000","85337800","62740900","73735400","85496900","97927300","111166000","78414300","91561100","105607000","120368000","136186000","93578000","108773000","124965000","141944000","160201000","107914000","125150000","143358000","162729000","183257000"
"363100012105676","31384700","37184100","43372700","49940600","56908400","42700700","49943100","57703400","65896900","74587300","53614900","62264800","71516800","81262900","91604800","64073600","74082600","84729100","95946300","107878000","73975600","85289500","97261700","109977000","123425000"
"363100012081736","9177220","10888600","12714900","14654900","16712600","16983400","19667500","22531200","25558100","28759900","23505200","27040300","30754200","34669200","38874500","28914200","33108600","37527100","42166400","47196600","33350300","38156600","43155900","48512600","54174400"
"363100012082530","25526000","30255900","35306500","40661000","46359200","34738100","40605600","46894800","53541800","60594500","43593600","50568700","58035900","65906000","74260900","52049200","60107600","68666800","77691900","87305700","60043000","69140300","78742700","88948100","99746700"
"363100012098259","109576000","109575000","109575000","109575000","109574000","135398000","135396000","131709000","135393000","143981000","456961000","236657000","177616000","410742000","177609000","294244000","175320000","175316000","573961000","294216000","604614000","210131000","347639000","241547000","241539000"
"363100012217414","668939","668915","668891","668865","668839","881915","881867","851880","881765","953898","3462400","1715460","1229440","3037350","1229240","2182610","1207590","1207480","4397660","2181870","4570460","1488600","2613550","1747350","1747140"
