,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1094SH,MFH_75_91,37.2243577861765,16.4063579918889,18.5707870226203,20.7581058286567,22.9687335376026,25.1987898390549,18.5212082830789,21.0457625678117,23.6040093038498,26.1912704863171,28.8025706649405,20.7485199747339,23.6641879157119,26.624580828166,29.6177332949993,32.6372772806721,23.1004612876302,26.4382312870975,29.82288949729,33.255328254398,36.7279897412948,25.5816696659082,29.3657024022287,33.2195131245793,37.1308254502214,41.0875252393595
1,1094NN,MFH_1964,51.5595970869374,26.7718211941249,29.0046009049483,31.2518675169268,33.5130081227039,35.7887609970499,30.1284501214836,32.7335153325688,35.3637376046984,38.0154812828709,40.6863783159361,33.6735619906982,36.6916431818314,39.7372216257341,42.8045025619441,45.8915219009781,37.425140060799,40.8740672641711,44.3574008577867,47.875920905554,51.4240973115515,41.3706754498268,45.2934636180985,49.2627909563311,53.2700489021073,57.3111281901958
2,1094ME,MFH_75_91,38.1841981438058,15.4454385136241,17.617526153705,19.8163000650135,22.0396264738375,24.2825798408592,17.4404229356003,19.9771508833463,22.5497205895252,25.1501045530349,27.7757460053747,19.5468335848157,22.4750667092541,25.4497352616123,28.4599165764565,31.4968687614861,21.7707803859965,25.1229858871344,28.5247663775129,31.9777104375611,35.4704818069404,24.1164180879567,27.9170544644676,31.7907373410523,35.7248802727748,39.7065960184046
3,1094SB,MFH_75_91,68.9207740741254,15.7342474828793,17.9375599570238,20.1677654156713,22.4196430988505,24.6876990672896,17.7323112423402,20.3079063969925,22.9178917902925,25.5561360645997,28.2142313680999,19.8410277952614,22.8221272687269,25.8384668719983,28.8854784401008,31.9654991737191,22.0716278462323,25.4734841494735,28.9338615296017,32.4387974890194,35.9804457111419,24.4147018860024,28.2891735562919,32.2273870634396,36.2203881970297,40.2531217422615
4,1094SR,MFH_1964,47.1862084054816,28.7265405537138,30.9020677513149,33.0924793242096,35.2933056203417,37.5065210976584,32.194968851883,34.7285238581113,37.284166756539,39.8612249296237,42.4558579481715,35.8416191014529,38.7733202981126,41.7339874437764,44.7172849151415,47.717918561229,39.6989939178604,43.0510376838512,46.4312445972633,49.839983512878,53.2804222423465,43.7457648158088,47.5449907608073,51.3918640646171,55.2780312513081,59.1938803992258
5,1094SP,MFH_1964,38.8153954805208,24.336038510918,25.8852902409068,27.4448968560329,29.0140851358118,30.5935865050261,26.6655115054885,28.4728934902012,30.2964922072378,32.1369972856791,33.98981119832,29.1245407269179,31.2180038419772,33.3308183670003,35.4589614656828,37.6010434309376,31.7263649637721,34.1176851481787,36.5311361567233,38.9696332396111,41.4304701251462,34.4572438790628,37.1740794385265,39.9257621644209,42.7042672819878,45.5063765221834
6,1094NR,MFH_1964,48.4231987103604,29.7927758071443,32.0058420885861,34.2291864702861,36.4648840261133,38.7157879826378,33.3301931395088,35.9081481916279,38.5092208635704,41.1292934306273,43.767652586156,37.0557288873228,40.0426680298384,43.0543459436378,46.0857694822232,49.1342475341707,40.9966508181481,44.4072292602611,47.8477341583307,51.3200136250216,54.8227383161363,45.1318839630012,49.0077977202697,52.9285201039001,56.8812440173562,60.8641537710024
7,1094LW,MFH_75_91,38.1125711485195,17.6598211123184,19.8301562670986,22.0230656107002,24.2379800459261,26.4686632159904,19.9056090704911,22.4387555446641,25.0031312275321,27.5951318368465,30.2089359825279,22.272247189723,25.2000862825222,28.1668018276036,31.1645687385061,34.1868305412704,24.7727179998246,28.1214163261287,31.5163537997034,34.9557994165742,38.4319280902797,27.4067843769638,31.2092191561014,35.0740056469048,38.9904732769269,42.9507376787486
8,1094EW,MFH_75_91,38.048637831827,14.9657217559933,17.1275486182333,19.3150022601174,21.5275110806126,23.7598989148093,16.9592756252546,19.4844502107749,22.0445559705312,24.6357822309705,27.2509522235679,19.0645774964582,21.9839345054253,24.948765552125,27.9436691642807,30.9675974066651,21.295853884202,24.6342579615493,28.0228359073446,31.4667003752717,34.9480047108571,23.6434510821517,27.4354840903728,31.3009360757154,35.2242785434509,39.1930950489191
