postcode;2012;2013;2014;2015;2010;2011;mean;N2012;N2013;N2014;N2015;N2010;N2011
1091NP;42.99891291;42.63946536;42.45974159;43.04384385;48.5703499;45.02080537;44.1221865;0.974541752;0.966395112;0.962321792;0.975560081;1.100814664;1.020366599
1091NR;41.47274052;36.45955211;37.96350863;34.81887226;42.56652708;44.98197241;39.71052884;1.044376435;0.918133129;0.956006121;0.876817138;1.071920428;1.132746748
1091NV;55.01374632;57.81594463;50.89286645;49.0796793;48.09066813;50.56319606;51.90935015;1.059804181;1.113786716;0.9804181;0.945488224;0.926435565;0.974067214
1091PA;32.76990538;32.96931657;33.03578696;31.93902542;36.45901237;32.90284617;33.34598215;0.982724252;0.988704319;0.990697674;0.957807309;1.093355482;0.986710963
1091PB;55.55033802;60.41193477;57.9246062;47.33461638;53.89211897;48.72902785;53.9737737;1.029209822;1.119283137;1.073199116;0.876992901;0.998487141;0.902827883
1091PD;45.13600731;45.09794997;49.01785617;42.43393605;47.76196389;46.01132617;45.90983993;0.983144515;0.982315557;1.067698259;0.924288477;1.040342636;1.002210555
1091PG;43.00749379;42.91589104;40.55712008;39.50368839;44.49603857;44.0380248;42.41970945;1.013856397;1.011696959;0.956091416;0.931257873;1.048947274;1.038150081
1091PH;45.54884135;47.76555163;44.91115757;39.23273535;44.60749863;41.93529994;44.00018075;1.035196687;1.085576259;1.020703934;0.891649413;1.013802622;0.953071084
1091PK;43.76603824;41.24645821;;;42.36627156;40.84208117;42.0552123;1.040680473;0.980769231;;;1.00739645;0.971153846
1091PP;36.18469876;35.06242897;32.1037177;33.49805289;34.24623275;34.28024093;34.22922867;1.057128664;1.024341778;0.937903626;0.978638847;1.000496771;1.001490313
1091PR;36.13860733;87.81645694;35.52852161;36.3898191;37.35877878;36.13860733;44.89513185;0.804956035;1.956035172;0.791366906;0.810551559;0.832134293;0.804956035
1091VP;37.24718313;35.53355404;33.36726822;34.30491432;37.44117887;35.66288454;35.59283052;1.046479939;0.998334595;0.937471612;0.963815291;1.051930356;1.001968206
1091VR;41.85715132;41.6062951;41.39127549;36.26664138;43.147269;42.39470035;41.11055544;1.018160686;1.012058695;1.006828418;0.882173471;1.049542351;1.031236379
1091VS;40.47660293;40.37481768;38.13554208;37.01590428;43.19087639;42.51230803;40.2843419;1.0047726;1.002245929;0.94665918;0.918865806;1.072150477;1.055306008
1091VT;37.2707516;36.73496362;36.43358288;34.65878518;39.21298304;38.10792032;37.06983111;1.005420054;0.990966576;0.982836495;0.93495935;1.057813911;1.028003613
1091VV;43.89067284;41.16261371;37.46764755;34.53239405;;;39.26333204;1.117854002;1.048372911;0.954265611;0.879507476;;
1091WS;38.55231426;37.46742502;38.20359986;36.69250413;41.34202947;44.9454116;39.53388072;0.975171513;0.9477295;0.966350866;0.928128063;1.045736687;1.136883371
1091WV;34.47614954;34.67406085;33.88241562;34.5157318;37.4844014;34.00116241;34.83898694;0.989585306;0.995266048;0.972543079;0.990721454;1.075932589;0.975951524
1091ZC;30.80243475;30.27266314;29.32664242;27.69948678;35.11628924;32.73231702;30.99163889;0.993894994;0.976800977;0.946275946;0.893772894;1.133089133;1.056166056
