postcode;N2010;N2011;N2012;N2013;N2014;N2015
1091NJ;;1.114851866;0.980184686;0.98403232;0.982108503;0.938822624
1091NP;1.100814664;1.020366599;0.974541752;0.966395112;0.962321792;0.975560081
1091NR;1.071920428;1.132746748;1.044376435;0.918133129;0.956006121;0.876817138
1091NV;0.926435565;0.974067214;1.059804181;1.113786716;0.9804181;0.945488224
1091PA;1.093355482;0.986710963;0.982724252;0.988704319;0.990697674;0.957807309
1091PB;0.998487141;0.902827883;1.029209822;1.119283137;1.073199116;0.876992901
1091PD;1.040342636;1.002210555;0.983144515;0.982315557;1.067698259;0.924288477
1091PG;1.048947274;1.038150081;1.013856397;1.011696959;0.956091416;0.931257873
1091PH;1.013802622;0.953071084;1.035196687;1.085576259;1.020703934;0.891649413
1091PK;1.00739645;0.971153846;1.040680473;0.980769231;;
1091PP;1.000496771;1.001490313;1.057128664;1.024341778;0.937903626;0.978638847
1091PR;0.832134293;0.804956035;0.804956035;1.956035172;0.791366906;0.810551559
1091VP;1.051930356;1.001968206;1.046479939;0.998334595;0.937471612;0.963815291
1091VR;1.049542351;1.031236379;1.018160686;1.012058695;1.006828418;0.882173471
1091VS;1.072150477;1.055306008;1.0047726;1.002245929;0.94665918;0.918865806
1091VT;1.057813911;1.028003613;1.005420054;0.990966576;0.982836495;0.93495935
1091VV;;;1.117854002;1.048372911;0.954265611;0.879507476
1091WS;1.045736687;1.136883371;0.975171513;0.9477295;0.966350866;0.928128063
1091WV;1.075932589;0.975951524;0.989585306;0.995266048;0.972543079;0.990721454
1091ZC;1.133089133;1.056166056;0.993894994;0.976800977;0.946275946;0.893772894
