,EUI,postcode_1091KZ,postcode_1091LC,postcode_1091LE,postcode_1091LG,postcode_1091LH,postcode_1091LN,postcode_1091LP,postcode_1091LR,postcode_1091ME,postcode_1091MG,postcode_1091NB,postcode_1091NH,postcode_1091NJ,postcode_1091NP,postcode_1091NR,postcode_1091NV,postcode_1091PA,postcode_1091PB,postcode_1091PD,postcode_1091PG,postcode_1091PH,postcode_1091PK,postcode_1091PP,postcode_1091PR,postcode_1091VP,postcode_1091VR,postcode_1091VS,postcode_1091VT,postcode_1091VV,postcode_1091WS,postcode_1091WV,postcode_1091ZC,postcode_1094EW,postcode_1094LW,postcode_1094ME,postcode_1094NN,postcode_1094NR,postcode_1094SB,postcode_1094SC,postcode_1094SH,postcode_1094SN,postcode_1094SP,postcode_1094SR,postcode_1097EZ,postcode_1097HN,postcode_1097HP,postcode_1097HR,postcode_1097HS,postcode_1097HT,postcode_1097HW,postcode_1097HZ,postcode_1097JE,postcode_1097JG,postcode_1097MC,postcode_1097MD,postcode_1097ME,postcode_1097ML,postcode_1097MN,postcode_1097NA,postcode_1097NC,postcode_1097NH,postcode_1097NJ,postcode_1097NL,postcode_1097NP,postcode_1097NS,postcode_1097PE,postcode_1097PK,postcode_1097PL,postcode_1097PN,postcode_1097PT,postcode_1097PV,postcode_1097PW,postcode_1097RA,postcode_1097RG,postcode_1097RH,postcode_1097RJ,postcode_1097RK,postcode_1097RL,postcode_1097RM,postcode_1097RN,postcode_1097RP,postcode_1097RR,postcode_1097RS,postcode_1097RT,postcode_1097RW,postcode_1097RZ,postcode_1097SB,postcode_1097SE,postcode_1097SG,postcode_1097SJ,postcode_1097SK,postcode_1097SL,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015
0,1.059905741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.069445233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,1.004372267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0.9880188520000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0.939299302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0.938958605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1.198596309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1.045749935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0.999740057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,0.94359241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
