2010;2011;2012;2013;2014;2015
159.8129285;161.2512962;151.4395735;148.9738003;151.4395735;141.5764805
154.8025413;135.061944;129.1196213;121.8679733;129.1196213;113.8105866
138.2300513;122.3230243;112.0539309;112.85935;112.0539309;103.6977078
61.65514814;57.32400137;51.91006791;52.9928546;51.91006791;51.46421457
45.78237863;44.94997175;42.01464221;38.72882556;42.01464221;40.130774
46.87072947;43.24512784;38.09065806;39.27007063;38.09065806;37.17333716
55.82779318;51.66436454;47.18552463;50.59196625;47.18552463;49.58265022
99.38906494;94.97830762;87.33299493;90.05296194;87.33299493;88.06812115
62.18938879;57.84921156;56.24394053;50.71467365;56.24394053;51.72539985
98.73625437;92.64928815;88.47334621;85.64219913;88.47334621;80.97080645
89.60160529;94.36939713;84.3405936;88.94397883;84.3405936;82.1211043
102.9480326;92.52039315;83.75320586;82.2255899;83.75320586;82.49126224
91.09177433;90.8178141;88.07821187;88.14670192;88.07821187;79.24299466
89.84126394;91.55116904;87.7751286;91.90739927;87.7751286;81.86170679
143.3350284;144.6673447;134.8970252;141.4475803;134.8970252;137.3396051
140.4095937;135.7469355;132.5678504;132.4618809;132.5678504;132.8857589
126.0859236;129.5584539;110.7902542;112.9399158;110.7902542;109.7981026
102.7282509;104.8326992;104.7547566;96.02519358;104.7547566;100.5458602
86.79814877;84.09748278;83.78345185;91.69703126;83.78345185;88.49391578
55.71021439;68.26949747;73.74257954;104.5646733;73.74257954;76.45031489
372.3383986;359.5529092;348.638467;317.1425053;348.638467;295.313621
97.85676843;96.44715615;91.40222798;94.51821302;91.40222798;73.89335963
74.06185077;74.21736122;73.59531943;141.9628572;73.59531943;50.60803924
144.6640533;143.3634774;137.9610854;65.19849536;137.9610854;77.36165092
72.24360132;74.61976132;69.61731922;84.56286843;69.61731922;59.87618292
88.06060265;85.52303076;82.84829283;68.04327527;82.84829283;62.79163695
71.08219336;69.80014979;66.38136695;67.46420524;66.38136695;78.46602452
80.32977;73.73696816;68.23229866;88.20021311;68.23229866;127.3501257
90.99350201;92.77104949;94.12537138;138.0389852;94.12537138;190.8503769
148.2188514;151.2728112;143.8415089;201.1634097;143.8415089;74.99412173
210.0539552;206.3791964;199.0296787;84.79810708;199.0296787;93.6335736
97.8488668;96.12998625;87.2172723;98.96231357;87.2172723;99.92864806
109.4506271;108.1818795;103.9527208;106.4209395;103.9527208;130.6488278
120.8092611;127.9156882;114.1415023;148.0439975;114.1415023;173.6179377
163.8353572;195.9024736;146.1934475;185.452663;146.1934475;133.2505112
188.0965909;139.7991474;182.5569323;137.5925417;182.5569323;172.7278321
139.7991474;187.3826646;134.8164894;254.0408107;134.8164894;186.0312576
188.9477438;195.3631187;181.0512079;195.6055047;181.0512079;165.4849233
191.3637496;163.8109429;184.2133625;168.4741741;184.2133625;189.9912197
161.1804022;215.4885076;158.6694315;189.9912197;158.6694315;144.9124293
208.6406645;159.602345;208.7863633;144.0541129;208.7863633;135.3418033
162.364864;161.8582085;152.5827974;148.5188488;152.5827974;154.0563209
161.9421942;194.5673073;162.1058875;172.3033866;162.1058875;175.368709
157.0284686;191.6045326;196.825966;188.8398498;196.825966;190.0418858
185.2100073;195.8926655;191.7247362;186.8753841;191.7247362;182.9886249
188.1186283;197.4806902;229.6297357;199.3614587;229.6297357;174.2275527
205.8427692;144.4289783;198.335585;122.3259454;198.335585;134.1367263
194.745027;36.53181159;138.8610387;34.41954571;138.8610387;40.81352442
127.2189832;40.05363284;37.22435779;44.30030363;37.22435779;34.3849184
40.61783412;66.36552395;51.55959709;39.1388031;51.55959709;38.66150062
51.09425776;46.31368108;38.18419814;75.87673273;38.18419814;67.89157611
42.08216837;51.9555671;68.92077407;47.59211127;68.92077407;42.26463613
71.40504502;38.1638181;47.18620841;47.66500666;47.18620841;34.62668374
46.02512232;48.92866007;38.81539548;38.46408778;38.81539548;43.21694666
49.97679062;38.80268011;48.42319871;33.86141142;48.42319871;35.58605305
40.72358639;37.18840599;38.11257115;35.82088301;38.11257115;33.34387893
50.04067508;38.4376109;38.04863783;35.3882547;38.04863783;37.62430358
43.54297262;;37.00624055;52.30450805;37.00624055;35.01487335
36.19030762;;51.08917094;35.3742003;51.08917094;50.72907106
43.52962191;;35.00144792;40.70183152;35.00144792;34.85234697
;;42.3352022;44.21331187;42.3352022;37.56752563
;;43.24929516;35.64997595;43.24929516;39.21795255
;;33.17267035;40.47249516;33.17267035;34.25649155
;;41.63342727;39.09236548;41.63342727;37.95153769
;;37.72337214;43.13294318;37.72337214;40.32950212
;;43.73368055;35.68631553;43.73368055;46.86443154
;;36.84782299;49.58607315;36.84782299;42.40537665
;;46.4170384;46.57798809;46.4170384;36.23966254
;;48.22762516;37.98481023;48.22762516;43.04384385
;;37.83628702;42.63946536;37.83628702;34.81887226
;;42.99891291;36.45955211;42.99891291;49.0796793
;;41.47274052;57.81594463;41.47274052;31.93902542
;;55.01374632;32.96931657;55.01374632;47.33461638
;;32.76990538;60.41193477;32.76990538;42.43393605
;;55.55033802;45.09794997;55.55033802;39.50368839
;;45.13600731;42.91589104;45.13600731;39.23273535
;;43.00749379;47.76555163;43.00749379;33.49805289
;;45.54884135;41.24645821;45.54884135;36.3898191
;;43.76603824;35.06242897;43.76603824;34.30491432
;;36.18469876;87.81645694;36.18469876;36.26664138
;;36.13860733;35.53355404;36.13860733;37.01590428
;;37.24718313;41.6062951;37.24718313;34.65878518
;;41.85715132;40.37481768;41.85715132;34.53239405
;;40.47660293;36.73496362;40.47660293;36.69250413
;;37.2707516;41.16261371;37.2707516;34.5157318
;;43.89067284;37.46742502;43.89067284;27.69948678
;;38.55231426;34.67406085;38.55231426;
;;34.47614954;30.27266314;34.47614954;
;;30.80243475;;30.80243475;
