,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1094SH,MFH_75_91,40.617834123893,18.643228496976,21.2935751440464,23.9802912509931,26.6965626141813,29.4359130361087,20.8539373273938,23.8888538319809,26.9656830970201,30.079206307823,33.2234880766996,23.2046753384577,26.6532031874812,30.1556092140537,33.7035243863301,37.2849968074588,25.6891015351188,29.5840408436939,33.5394967702637,37.5476275725502,41.5949670862275,28.3032815259926,32.6729977687736,37.1173187251595,41.6165859584737,46.1533853927604
1,1094NN,MFH_1964,51.0942577630481,30.3576496134131,33.0873857527084,35.8445216367846,38.6221899173057,41.41696388496,33.8987218659595,37.0310406305285,40.1904108970623,43.3753839754452,46.5813352010778,37.6657619171008,41.2243159590219,44.8148665508982,48.4359510729014,52.0868451799739,41.6224410762479,45.6369146131765,49.6983870005834,53.7958537654757,57.9249966969323,45.786505797316,50.3016410662811,54.8674665595766,59.4731310310488,64.1099841291424
2,1094ME,MFH_75_91,42.0821683709859,17.5264412758623,20.1850575219557,22.8829276844445,25.6131146487933,28.3696400886545,19.607321839606,22.653777307556,25.7471475975198,28.8790010133749,32.0445812137193,21.8219439556661,25.2870796655142,28.8108988523873,32.3815764619689,35.987108842143,24.1681550505621,28.083498213896,32.0643961696008,36.0980556752883,40.1712698936654,26.6372884310669,31.0317718914366,35.5056467737113,40.034097383618,44.6012285169843
3,1094SB,MFH_75_91,71.4050450242741,17.8984801403785,20.6047460605902,23.340469815407,26.1049077500658,28.8936889957532,19.9980603633501,23.0926506596789,26.2281419679917,29.4033353346905,32.6083204218067,22.2222407007517,25.7419131657859,29.3174811510936,32.9319013036292,36.5768871846012,24.5706720901434,28.5482689464928,32.5869517298314,36.6706787445497,40.7827860532979,27.0440071265216,31.5134633139994,36.0458569770607,40.623886759987,45.2371263194635
4,1094SN,MFH_1964,46.0251223175816,30.5835450915383,32.6581671300209,34.7512958051262,36.8627151701025,38.9855797129202,33.4636485139495,35.8446989931277,38.2441049462024,40.6638530832895,43.0997324427304,36.5287103292118,39.2333570158477,41.9614555197207,44.7108463733137,47.4812272511742,39.7494481577916,42.7993073217326,45.8814289303812,48.9924658090854,52.1257236085421,43.1342839230061,46.5626977427184,50.0262892882864,53.5219921158357,57.0428527399608
5,1094SR,MFH_1964,49.9767906230101,32.3029782107913,34.9552176672463,37.6324090647909,40.3317751438953,43.048477397722,35.9549877033605,38.9987122668429,42.0666076671722,45.1579795894658,48.2713092199185,39.8333655449635,43.2868877704991,46.7738022024148,50.2856034834,53.8234415724787,43.9021158484109,47.7919932802553,51.7243974986525,55.69579183717,59.6981699773188,48.1635602290911,52.5354006760881,56.9561252302809,61.4210472662126,65.9223991361353
6,1094SP,MFH_1964,40.7235863854385,27.2876927723898,29.1798364404865,31.0895865479942,33.0173401540806,34.9563994975218,29.7366074339676,31.9079881862304,34.097800843016,36.3067350334053,38.5313844076962,32.3441158862756,34.810469804457,37.300605477,39.8106568014822,42.340926796742,35.0851407081942,37.8647743097115,40.6774892092555,43.5180295973169,46.3801470164665,37.962785230587,41.0894485446968,44.2508440870572,47.4439103225064,50.6597343176217
7,1094NR,MFH_1964,50.0406750764685,33.4398802473105,36.140556464972,38.8655499545374,41.6093163780128,44.3662465513455,37.1898305361162,40.2854516725283,43.4046119281434,46.5473761490201,49.7090105728943,41.153091934064,44.668169799306,48.2109693545185,51.781393330614,55.38077107179,45.3051202080455,49.2687706823438,53.2750250170179,57.3146426487444,61.3838625061353,49.6671524421902,54.1226926925631,58.627321409153,63.1717980286363,67.7450987210832
8,1094SC,MFH_75_91,43.5429726155743,19.1338471927503,21.7657495096651,24.4319631397637,27.1261855820144,29.8434273564334,21.3277878836766,24.3391601941953,27.3891284128978,30.4766559442196,33.5948736148868,23.6501420331293,27.0690691664121,30.5415399159183,34.0598143680999,37.6123310270945,26.1005779305279,29.9605972084039,33.8836207646884,37.8582253162609,41.8723518013881,28.6745414660259,33.0064674193082,37.4148664827001,41.8773551026459,46.3783221499449
9,1094LW,MFH_75_91,36.1903076182353,20.052803689303,22.7148625348283,25.407119100379,28.1251391702935,30.8677845501777,22.4075974731186,25.4524216085127,28.5346638846213,31.6520004878892,34.798942001602,24.9022113245659,28.3632233539714,31.8730947489929,35.4269170463049,39.0120396894616,27.5401902449356,31.4486312332392,35.4164361729235,39.4287492559037,43.4758365488699,30.3144798002212,34.7026460133628,39.1569104947183,43.6583863310564,48.1968416290195
10,1094EW,MFH_75_91,43.5296219061143,17.1347888979841,19.7872082245622,22.4760194835717,25.1952843753924,27.9415415382136,19.2158294809001,22.2519836342672,25.3322780896234,28.4523623279956,31.6032495109215,21.4284335682341,24.8803957174613,28.3910739950179,31.9483695123731,35.5370713309278,23.774824052892,27.6786050630553,31.6440872291646,35.6628235581774,39.7173802185885,26.2507139271266,30.6302575303842,35.0877294078011,39.5954386648919,44.139031764607
