,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1094SH,MFH_75_91,34.2810364728509,11.2933797835925,12.9173099676798,14.5722420742565,16.2537414628617,17.9555076991824,13.2980130350386,15.2747810609068,17.2893922533896,19.3367089192705,21.4090380389695,15.4985952017214,17.8657467905882,20.2778531951013,22.727045632492,25.2083080917512,17.8656251083804,20.6587185054038,23.5062308897885,26.4007396468608,29.3352277693063,20.3908959661144,23.6483827489479,26.9809204134813,30.3731905217817,33.8073463500437
1,1094ME,MFH_75_91,37.746670873408,10.620355758198,12.246291326822,13.9083882499414,15.5967578493839,17.3059951917377,12.5017989789913,14.4835201643694,16.5050028598893,18.5614719243803,20.6431702780489,14.5672261331196,16.9386289176563,19.359089697803,21.8214457618038,24.3188257943124,16.7878923747166,19.5895466585946,22.4530427805868,25.3656532974943,28.3220296752104,19.1631773114255,22.435925591469,25.7909980572861,29.2088241499844,32.6713090924897
2,1094SB,MFH_75_91,76.5865244345843,11.0554145379501,12.7253444272414,14.4218485918515,16.1445627927126,17.887355672184,12.9873537299844,15.0164081634607,17.0842237043979,19.1787501103043,21.2941747327234,15.0868732464447,17.5163022985299,19.9892730958403,22.4971804904003,25.030023084474,17.3391455219474,20.2046446212821,23.1215317824268,26.0881072230653,29.0915618693146,19.739663098029,23.0886288533057,26.5094255880705,29.9771484560652,33.4776680167863
3,1094SR,MFH_1964,42.1124225554298,20.4514571133843,22.0806018931412,23.7309666714944,25.3989062953107,27.0817302944206,23.830448975752,25.8173828933952,27.8262962165373,29.8516995181388,31.8937880742602,27.4928080995384,29.8587511536641,32.2570449418462,34.6851942699755,37.1351277275432,31.3911691913533,34.1923174927636,37.031045587189,39.9018640475898,42.80034661659,35.5625045186895,38.8336606008695,42.1506414652943,45.5072199753614,48.8994038204965
4,1094SP,MFH_1964,33.5096939400179,17.9046308459732,19.0694666080504,20.2490144571844,21.4411323636546,22.6441067036844,20.1500944797933,21.5675121171716,23.0011360379484,24.4472568735831,25.9083510194113,22.5979329020481,24.2867927251945,26.0013151092866,27.7359516749016,29.4874528062195,25.21605746263,27.2162743668264,29.244964592919,31.2981993449324,33.3709422407916,28.0230150042421,30.3595932681298,32.7306007414296,35.1311995716504,37.5579625112393
5,1094NR,MFH_1964,42.7620314289821,21.433891916795,23.0964475853589,24.7780031490371,26.4759971885224,28.1873495160403,24.9283811584916,26.9531344863086,28.9966283250064,31.0579872527963,33.1402590344237,28.6825788641232,31.1001371907633,33.5513181986894,36.0270110166947,38.5224818825154,32.6902598120823,35.5550938266106,38.4529993309283,41.379955869414,44.3327211391472,36.981091074092,40.3270179959695,43.7166187381867,47.1462943445017,50.6046967546927
6,1094SC,MFH_75_91,37.4483108186821,11.7819244538529,13.3959037477324,15.0395504066671,16.7071078699555,18.3956322061946,13.7945714911904,15.7577245456431,17.7570962491183,19.7891898192453,21.8456019213147,15.9848288125442,18.3329665490039,20.727419375284,23.1587957355706,25.620316294872,18.3258347715203,21.0980299321304,23.9249642491815,26.7958087543437,29.7067418653024,20.8209824909331,24.0542691798935,27.3598134903346,30.7237803267892,34.1310630365645
7,1094LW,MFH_75_91,34.3419773006543,12.2944083058974,13.9298632324798,15.5939745741784,17.2800791513097,18.985924287468,14.4462833703442,16.4359064526371,18.4601851829998,20.5150884562858,22.5919493964295,16.7973661661865,19.1786941068205,21.601400156166,24.0588922716891,26.5432268050123,19.3180280705963,22.1278862007055,24.9870898002867,27.8880509067108,30.8275209234773,22.004356540343,25.2819769979578,28.6272488848872,32.026087045501,35.4647501537256
8,1094EW,MFH_75_91,35.3611875760474,10.3177479565385,11.9432542718042,13.6004526887858,15.2832461297985,16.9851564498022,12.1905034741692,14.1658296216019,16.1806597515343,18.2315007465426,20.306348984935,14.2493786392518,16.6164737835477,19.0298686115128,21.4846727587541,23.9709467184206,16.4703026971766,19.2664479279294,22.1201978405586,25.0204697261477,27.9628177988846,18.8497825305198,22.1100678000302,25.4503137029281,28.8524830510625,32.2970461424743
