,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1094SH,MFH_75_91,34.419545711125,16.9158413957983,19.3232157144539,21.757022112685,24.2130152334651,26.6861114645588,19.1137465539102,21.8945906086853,24.7048411970034,27.5475674145493,30.4180371754655,21.4331851970881,24.6130522516132,27.8429442137747,31.1103142959277,34.4051034355635,23.874684614899,27.4968259339116,31.1716691691315,34.8884927660301,38.6401309945947,26.4559968894311,30.5416122175729,34.6915568728862,38.8939871204818,43.1378028389626
1,1094NN,MFH_1964,44.3003036342639,27.8111170548797,30.29106558695,32.7910032566719,35.3062636103079,37.8334617276842,31.3247338437946,34.1930566942365,37.0817865737095,39.9928179231338,42.9209828191165,35.0300095490495,38.3169759834496,41.636969766541,44.9843911538386,48.3526792506847,38.9435065989842,42.688091953335,46.4673622921823,50.2765397240873,54.1107767090482,43.0818013516512,47.3106392365379,51.5810155245445,55.8851295765873,60.2202929581251
2,1094ME,MFH_75_91,39.1388030974009,15.9168051064313,18.3344835208565,20.7782748135735,23.2462144087856,25.732596576787,17.9889249781058,20.7792430016455,23.6032408102533,26.4654773477636,29.3555939417941,20.1740690573326,23.3720318587263,26.6233390029226,29.9134676688413,33.2329803727514,22.4840905980806,26.1289050943027,29.8291131080817,33.5709532089573,37.345213510419,24.9293482727319,29.0407918201272,33.2164083769169,37.4445702863527,41.7192240230135
3,1094SB,MFH_75_91,75.8767327345418,16.2805150247545,18.7325572522965,21.2094891494689,23.7048151195632,26.2189297549029,18.3589542051681,21.1885454030726,24.0552131027497,26.9505949822687,29.8689846295679,20.5466499292822,23.794463460116,27.0840430707197,30.4086958682233,33.7622297884749,22.8583235260857,26.5500837740093,30.2948711595479,34.0798766088185,37.8963432075669,25.2936107565107,29.4648006773753,33.7015232771813,37.9861888442814,42.30879598094
4,1094SR,MFH_1964,47.5921112734858,29.6224020281944,32.0362311118723,34.4710198260655,36.9209749809733,39.3813014644383,33.251412340281,36.0440769817208,38.8549673888261,41.6828251158724,44.5289520032645,37.0682999201029,40.2615625514029,43.4848543013708,46.7373506710838,50.0127160372389,41.0873416174316,44.7244667347073,48.3967198455693,52.0951182512253,55.8173403362869,45.3332290052759,49.4373242757104,53.5790210365,57.756691987139,61.9637845309238
5,1094NR,MFH_1964,47.6650066637472,30.7324600395744,33.1912928823929,35.6664993549602,38.1525675423113,40.6491407911249,34.4427893866911,37.2821713232931,40.1388671574908,43.0144980407444,45.9060162083086,38.3439282606814,41.5955041675713,44.8766823001257,48.1832152415187,51.5080671944128,42.4548765566597,46.1574567997963,49.8894771534514,53.6477601607629,57.4298740945402,46.7897382923302,50.967218644238,55.1833148239293,59.431996147972,63.7074588941383
6,1094SC,MFH_75_91,38.4640877848308,17.4067684121501,19.7992655281319,22.2178710310642,24.6574917814069,27.1136704182327,19.5846695143754,22.3478324723004,25.140344905974,27.9637755300173,30.8133698261078,21.8791945282406,25.039263017164,28.2460474128595,31.4889606192954,34.759799710238,24.2919467215522,27.887744700682,31.5349785517207,35.224159969935,38.9473348120268,26.8384750277772,30.8935746802494,35.0127013854202,39.1829875370163,43.3939980730217
7,1094LW,MFH_75_91,33.8614114180833,18.2118691059644,20.6271887479382,23.0655568263978,25.5249933573445,27.9992738401843,20.5480605251473,23.3370873266014,26.1537509106935,29.001394723457,31.872667926095,23.0078527418422,26.2016736371726,29.4379752670339,32.7075927953134,36.004965668147,25.6024380009272,29.236479290658,32.917079844833,36.6393549125098,40.3923849412173,28.3402223422521,32.441409437525,36.6026599994834,40.8116910136215,45.0592190819105
8,1094EW,MFH_75_91,35.820883014536,15.4572986443326,17.861833656287,20.2947899418242,22.7509595804219,25.2246265617506,17.5268119397508,20.3056503614503,23.116593707834,25.9644370764561,28.839113938014,19.7138210030537,22.8959239535013,26.1311222887877,29.4015375988265,32.7038355442589,22.0228986425049,25.6488180394274,29.3290712900933,33.0528297304895,36.8098362976358,24.4648417665047,28.5573463843813,32.7165377894357,36.925426728744,41.1784559700415
